Family,First,Last,Flips,Percentage
Francesco,tractor,tractor,0,0
Ziani,stan,stan,0,0
Centocori,stan,stan,0,0
Zorzi,stan,stan,0,0
Orefice,stan,stan,0,0
Muazzo,stan,stan,0,0
Bredani,stan,stan,0,0
Mosto,stan,stan,0,0
"di Guazo",stan,stan,0,0
Barastro,stan,stan,2,0.5
Foscolo,tractor,tractor,0,0
Balbi,stan,stan,0,0
Russo,tractor,tractor,0,0
