"","x"
"1","Abriano"
"2","Albino"
"3","Anastasio"
"4","Avenanzo"
"5","Barastro"
"6","Barbani"
"7","Barberius"
"8","Baro"
"9","Batello"
"10","Belli"
"11","Bellono"
"12","Bendolo"
"13","Bilongo"
"14","Biondo"
"15","Bocca d'Uomo"
"16","Bonizzo"
"17","Bonoto"
"18","Bosio"
"19","Bozolino"
"20","Casolo"
"21","Cavalerio"
"22","Cazzamonti"
"23","Centocori"
"24","Centosoldi"
"25","Copula"
"26","Curtolo"
"27","d'Albiola"
"28","d'Ancontano"
"29","da Ferraguto"
"30","da Mantova"
"31","da Trau"
"32","da Tumba"
"33","da Vicenza"
"34","Dauro"
"35","de Albrigeto"
"36","de Galletto"
"37","de Iema"
"38","De Laurentio"
"39","de Manzolo"
"40","de Protis"
"41","de Ranerio"
"42","de Rodanis da Cremona"
"43","de Stolla"
"44","de Suligo"
"45","dei Boccoli"
"46","di Albiola"
"47","di Artico"
"48","di Bruges"
"49","di Burges"
"50","di donna Maria"
"51","di Federico"
"52","di Fioravante"
"53","di Guazo"
"54","di Loreo"
"55","di Troia"
"56","Duracino"
"57","Encio"
"58","Fel"
"59","Fiorentino"
"60","Flabiano"
"61","Francesco"
"62","Giacobbe"
"63","Giacomo"
"64","Gramentuni"
"65","Grasso"
"66","Groscalco"
"67","Guido"
"68","Iantani"
"69","Katarino"
"70","Lanfranchi"
"71","Lissado da Luprio"
"72","Maciacavallo"
"73","Mangoni"
"74","Manguni"
"75","Marangon"
"76","Marano"
"77","Martinazo"
"78","Marzolo"
"79","Marzulo"
"80","Mastropetro"
"81","Mastroscoli"
"82","Mercadante"
"83","Messeta"
"84","Morono"
"85","Mozo"
"86","Orefice"
"87","Pagan"
"88","Pentulo"
"89","Pergaminer"
"90","Pigozo"
"91","Pizolo"
"92","Rachovich"
"93","Roberto"
"94","Rosso"
"95","Rozeri"
"96","Russo"
"97","Rustico"
"98","Sceda"
"99","Scutario"
"100","Seio"
"101","Simitecolo"
"102","Simone"
"103","Sirano"
"104","Spatario"
"105","Speziale"
"106","Spoletino"
"107","Squaglia"
"108","Staniario"
"109","Straccivendolo"
"110","Tebaldo"
"111","Villano"
"112","Villari"
"113","Vitaliano"
"114","Voltani"
"115","Zopolo"
