Michiel,Bembo,1131
Barbarigo,Caravello,1321
Viaro,Arduini,1199
Biondo,Canal,1312
Falier,Morosini,1130
Miani,Foscolo,1323
Morosini,Voltani,1186
"di Albiola",Barbani,1200
Viaro,Ziani,1201
Longo,Bredani,1228
Belli,Barastro,1242
Corner,Corner,1207
Pigozo,Balestrieri,1250
Trevisan,Giustinian,1327
Bozolino,Fiorentino,1206
Corner,Semitecolo,1205
Sanudo,Sanudo,1316
Orio,Michiel,1323
"de Suligo",Alberto,1234
"de Suligo",Bonizzo,1234
Alberto,Bonizzo,1234
Badoer,Badoer,1322
Morosini,Moro,1323
Emo,Casolo,1208
Staniario,Zane,1206
"Da Molin",Venier,1170
Veglia,Grego,1248
Boninsegna,Michiel,1316
Viaro,Ziani,1209
Bilongo,Navigroso,1120
Zulian,"Dalla Scala",1324
Viaro,Badoer,1202
Gradenigo,Marzolo,1210
Trevisan,"Dalle Sevole",1329
"Da Molin",Grioni,1118
"de Suligo","de Ranerio",1234
Malipiero,Arimondo,1319
Viaro,"Da Mula",1198
Emo,Agadi,1226
Longo,Albizzo,1236
Morosini,Morosini,1320
"da Vicenza",Marioni,1236
Morosini,Morosini,1083
Falier,Mastrorso,1231
Bon,Muazzo,1221
Trevisan,Giustinian,1329
Ruzier,Mercadante,1243
Bon,Voltani,1172
Urso,Urso,1138
Sirano,Ghisi,1252
Marano,Maciacavallo,1159
Gradenigo,Soranzo,1208
Faccio,Polini,1197
Foscarini,Marin,1323
Viaro,Encio,1209
"de Protis","de Protis",1323
"de Protis",Tagliapietra,1323
"de Protis",Tagliapietra,1323
Russo,Manolesso,1159
Gradenigo,"di Loreo",1207
Morosini,"Dalla Scala",1329
Sagredo,"dei Boccoli",1320
Viaro,Arduini,1204
Vitturi,Veronese,1240
"di Fioravante",Benedetti,1313
Querini,Boninsegna,1326
"de Suligo",Civran,1234
Viaro,Marzulo,1204
"di Bruges",Marioni,1239
Contarini,Zorzi,1310
Boldu,Cazzamonti,1319
Vitaliano,Baseggio,1217
Guido,Rustico,1159
"Da Molin",Brizi,1333
Morosini,Zordani,1329
"Da Fano",Curtolo,1206
Lanfranchi,Mosto,1247
Barbarigo,Morosini,1327
Vidal,Centosoldi,1183
"da Ferraguto",Staniario,1206
Trevisan,"Dalle Sevole",1327
"de Protis","de Protis",1323
"de Protis","de Protis",1323
"de Protis","de Protis",1323
Emo,Gramentuni,1220
Zantani,Donato,1220
Tiepolo,Tiepolo,1182
Benedetti,Barberius,1312
Anastasio,Voltani,1198
Calbo,Iantani,1235
Pigozo,Spatario,1250
Vidal,Copula,1165
D'Avanzago,Barbarigo,1200
Gradenigo,Cavalerio,1207
Tiepolo,Ziani,1190
Viaro,"Da Molin",1207
Ragusio,Marioni,1238
Barbo,Giustinian,1244
Emo,Groscalco,1253
Flabiano,Semitecolo,1319
Morosini,Giustinian,1326
Falier,Capello,1235
Gradenigo,Bembo,1217
D'Equilo,Dolce,1225
Corner,Longo,1207
Pentulo,Pentulo,1252
Calbo,Grego,1153
Gradenigo,Bembo,1218
Longo,Speziale,1228
Longo,Speziale,1228
Speziale,Speziale,1228
Barbo,"Dalla Fontana",1243
Gradenigo,Ziani,1223
Contarini,Giustinian,1138
Marano,Dandolo,1161
Gradenigo,Gradenigo,1225
Venier,Marcello,1312
Barbarigo,Morosini,1338
Gradenigo,Bembo,1213
Bendolo,"de Galletto",1246
Sanudo,Dandolo,1316
Badoer,Dandolo,1316
"de Suligo",Bellono,1234
Tiepolo,Tolonegi,1190
"Da Molin","Da Molin",1184
Barbarigo,Badoer,1323
Marano,Navigroso,1156
Gradenigo,Gradenigo,1208
Miani,Mercadante,1244
