"","x"
"134","Dente"
"135","Deretti"
"136","Di lorzo"
"137","Di pigli"
"138","Di rossi"
"139","Diedo"
"140","Diesello (diesolo)"
"141","Diesenove"
"142","Dolfinigo"
"143","Don zorzi"
"144","Donadi"
"145","Dondiorologio"
"146","Donini v."
"147","Donisdio"
"148","Dono"
"149","Doro"
"150","Dotto (dotho)"
"151","Dozane"
"152","Drusco"
"153","Duodo"
"154","Enegro"
"155","Erizzo"
"156","Fabrizi"
"157","Faraon"
"158","Farsetti"
"159","Favero inizio"
"160","Ferramosca"
"161","Ferro"
"162","Fexasonda"
"163","Fini"
"164","Fiollo"
"165","Flangini"
"166","Fondanizi"
"167","Fonseca"
"168","Fonte"
"169","Fornase (dalla)"
"170","Foscari"
"171","Fracassetti"
"172","Fradello (di candia)"
"173","Franceschi"
"174","Franco"
"175","Franzapani"
"176","Gabriel (cabriel)"
"177","Galaenzi"
"178","Galaresi"
"179","Gallina"
"180","Gallo"
"181","Gambara"
"182","Gambarin"
"183","Garzoni"
"184","Gezo prima del"
"185","Ghedini"
"186","Gheltof"
"187","Gherardini"
"188","Giovanelli"
"189","Girardo"
"190","Giupponi"
"191","Gozzi"
"192","Gradelon"
"193","Grasoni"
"194","Grassi"
"195","Grisoni"
"196","Guatardo"
"197","Guberto 1297"
"198","Guerra"
"199","Gugino"
"200","Guoro"
"201","Haoldo"
"202","Iacolo"
"203","Iallina"
"204","Labia"
"205","Laghi"
"206","Lambertini"
"207","Lanzuoli"
"208","Lazzari"
"209","Leucari"
"210","Lezze (da)"
"211","Lini"
"212","Lion cavazza"
"213","Lippomano"
"214","Lisiado"
"215","Lolin"
"216","Lombreschi"
"217","Lombria"
"218","Lucca"
"219","Lugma (lugnano)"
"220","Lupanadi"
"221","Maccarelli"
"222","Madeo"
"223","Maffetti"
"224","Maganesi dopo"
"225","Maggio"
"226","Magno"
"227","Maina"
"228","Malatesta"
"229","Manfrotto"
"230","Manin"
"231","Manzoni"
"232","Maranzin"
"233","Marcipagni"
"234","Marconi"
"235","Marmora"
"236","Marono"
"237","Martine"
"238","Martinelli"
"239","Martinengo"
"240","Massoli"
"241","Mastalizi"
"242","Matono"
"243","Mazaruol"
"244","Medici"
"245","Melli"
"246","Memmo"
"247","Menegato"
"248","Mengolo"
"249","Mettadori"
"250","Mezzo (de)"
"251","Miegano"
"252","Minelli"
"253","Minotto"
"254","Mora (s. felice)"
"255","Mora (s. marcuola)"
"256","Morelli"
"257","Mortadello"
"258","Mussatti"
"259","Nave"
"260","Negro"
"261","Nosadini"
"262","Obizo"
"263","Ogniben"
"264","Onoradi"
"265","Ottoboni"
"266","Ottolin"
"267","Pallavicino"
"268","Panciera"
"269","Papaciza"
"270","Papafava"
"271","Paradiso"
"272","Paruta"
"273","Pasta"
"274","Patani"
"275","Pecin (pencin)"
"276","Pelizzioli"
"277","Pentolo"
"278","Pepoli"
"279","Persico"
"280","Pesaro"
"281","Pianega"
"282","Piero"
"283","Pindemonte"
"284","Pino"
"285","Piovene"
"286","Pisani"
"287","Pizzamano"
"288","Polani"
"289","Polo"
"290","Polvaro"
"291","Ponte (da)"
"292","Premuda v."
"293","Priuli"
"294","Protti"
"295","Quintavalle"
"296","Rampani"
"297","Ranaso"
"298","Raspi"
"299","Rava"
"300","Ravagnin"
"301","Rebolin ?"
"302","Recanati"
"303","Redetti"
"304","Regin"
"305","Renier"
"306","Rezzonico"
"307","Riario"
"308","Riva (da)"
"309","Rizzi"
"310","Romieri"
"311","Rossi"
"312","Rota"
"313","Rovere"
"314","Rovini"
"315","Rubini"
"316","Ruzzini"
"317","Sabadin"
"318","Salamon"
"319","Sallonesi"
"320","Sandi"
"321","Sangiantoffetti"
"322","Santasoffia"
"323","Savello"
"324","Savia"
"325","Savorgnan"
"326","Schogolo (secogolo)"
"327","Schondoler"
"328","Sclavo"
"329","Scroffa"
"330","Selvo"
"331","Semenzi (premuda)"
"332","Sesendillo"
"333","Sisolla"
"334","Soderini"
"335","Spatafora"
"336","Spazacanal"
"337","Spineda"
"338","Spinelli"
"339","Staniardo"
"340","Statio"
"341","Steno"
"342","Stornello"
"343","Strobardo"
"344","Surian"
"345","Tasca"
"346","Terzi"
"347","Tinto"
"348","Toderini"
"349","Totulo"
"350","Trasmondi"
"351","Travaionti"
"352","Trento"
"353","Trunzane"
"354","Valier"
"355","Valmarana"
"356","Valpetro"
"357","Vanaxel"
"358","Vaneri"
"359","Varda da dio"
"360","Vendelin"
"361","Vendramin"
"362","Ventolo"
"363","Verdizzotti"
"364","Veri"
"365","Vermo (dal)"
"366","Vetigrassi"
"367","Vezzi"
"368","Viani"
"369","Vianol"
"370","Vidor"
"371","Vielmo"
"372","Vizzamano"
"373","Volpe"
"374","Widman"
"375","Zaccaria"
"376","Zacco"
"377","Zaguri"
"378","Zambelli (s. giac. dell'orio)"
"379","Zambelli (s. stin)"
"380","Zanardi"
"381","Zanasi"
"382","Zancani"
"383","Zancaruol"
"384","Zapoani"
"385","Zara (da)"
"386","Zenobio"
"387","Zino"
"388","Zolio"
"389","Zon"
"390","Zorbani"
"391","Zucconi v."
