"","x"
"1","Abiconolo"
"2","Abramo"
"3","Acquisti"
"4","Adamo"
"5","Agrinal"
"6","Aicardo (haicardo)"
"7","Albiringo"
"8","Albrizzi"
"9","Amboise"
"10","Amizzo"
"11","Angaran"
"12","Angusuola"
"13","Anselmi"
"14","Antelmi"
"15","Ariani nel"
"16","Ariberti"
"17","Arnaldi"
"18","Aventurado"
"19","Avogadro"
"20","Avonal nel"
"21","Baffo"
"22","Baglioni"
"23","Balastri (balestro)"
"24","Baluchin"
"25","Balzolani"
"26","Banbazini"
"27","Barbaran"
"28","Barbaro"
"29","Barbetto"
"30","Barbolani"
"31","Barison"
"32","Barzizza"
"33","Basadonna"
"34","Basodello"
"35","Battagia"
"36","Battaglioni"
"37","Bell’osello"
"38","Belloni"
"39","Bellotto"
"40","Benado"
"41","Beneto"
"42","Benfizi"
"43","Bentivoglio"
"44","Beregan"
"45","Berengo"
"46","Berlendis"
"47","Bernardo"
"48","Betani"
"49","Bettoni"
"50","Biaqua"
"51","Boccole (dalle) nel '300"
"52","Boldo"
"53","Bolpe"
"54","Bonci (bonzi)"
"55","Bondumier"
"56","Bonfadini"
"57","Bonlini"
"58","Bonomo"
"59","Bonvicini"
"60","Bordinigo"
"61","Bordolo"
"62","Borini"
"63","Borselli"
"64","Bosebo"
"65","Bosso"
"66","Bragadin"
"67","Brandolin"
"68","Brazolan"
"69","Bregonzi"
"70","Bressa"
"71","Briani"
"72","Brioso (brugloso)"
"73","Bristolani ?"
"74","Buora"
"75","Buricaldo"
"76","Buzzacarin"
"77","Caisselli"
"78","Calergi"
"79","Canabri"
"80","Cancanico"
"81","Caotorta"
"82","Carazacanevo"
"83","Carbonizzi"
"84","Caresin"
"85","Carminati"
"86","Caroso"
"87","Cassetti"
"88","Castelli"
"89","Casteroti"
"90","Cattanio"
"91","Catti"
"92","Cavagnis"
"93","Cavalli"
"94","Cavallier"
"95","Cavazza v. lion"
"96","Celini"
"97","Celsi"
"98","Cernovici"
"99","Cicogna"
"100","Cocco"
"101","Cocodrizi"
"102","Codeglioni (colleone)"
"103","Codognola"
"104","Collalto"
"105","Comino"
"106","Concanfo"
"107","Condulmer"
"108","Contenti"
"109","Conti"
"110","Correggio"
"111","Correr"
"112","Cossazza"
"113","Costantino 1297 o"
"114","Cottoni"
"115","Croce"
"116","Crotta"
"117","Curti"
"118","Da comino"
"119","Da mar"
"120","Da porto"
"121","Dal sol"
"122","Dalbore"
"123","Danselmo"
"124","Darmer (armeri)"
"125","Darpo"
"126","Davidor"
"127","Davillo"
"128","De lia"
"129","De malis nel '300"
"130","De verardo"
"131","Deddo"
"132","Della frascada"
"133","Delli aspinal"
