source,docnumber,year,contract_type,repeat_note,tractor_firstname_italian,tractor_familyname_italian,tractor_firstname_latin,tractor_familyname_latin,tractor_familyname_std_gc,tractor_familyname_std,tractor_2_firstname_italian,tractor_2_familyname_italian,tractor_2_firstname_latin,tractor_2_familyname_latin,tractor_2_familyname_std_gc,tractor_2_familyname_std,stans_firstname_italian,stans_familyname_italian,stans_firstname_latin,stans_familyname_latin,stans_familyname_std_gc,stans_familyname_std,stans_2_firstname_italian,stans_2_familyname_italian,stans_2_firstname_latin,stans_2_familyname_latin,stans_2_familyname_std_gc,stans_2_familyname_std
"Morozzo della Rocca and Lombardo (1940)",780,1246,"colleganza","","Stefano","Bendolo","Stephanus","Bendolo","","","","","","","","","Tibaldino","de Galletto","Thebaudino","de Galletto","","","","","","","",""
"Sebellico (1973)",45,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Gratone","Dandolo","Grathone","Dandullo","Dandolo","Dandolo","","","","","",""
"Sebellico (1973)",57,1316,"colleganza","","Marinello","Badoer","Marinellus","Baduario","Badoer","Badoer","","","","","","","Graton","Dandolo","Grathone","Dandullo","Dandolo","Dandolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",685,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Marino","Bellono","Marino","Bellono","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",389,1190,"colleganza","","Giacomo","Tiepolo","Iacobus","Teupulus","Tiepolo","Tiepolo","","","","","","","Marco","Tanoligo","Marco","Tanoligo","Tolonegi","Tolonegi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",349,1184,"colleganza settlement","","Pietro","da Molin","Petro","da Molino","Da Molin","Da Molin","","","","","","","Profeta","da Molin","Propheta","da Molino","Da Molin","Da Molin","","","","","",""
"Sebellico (1973)",344,1323,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marino","Badoer","Marino","Baduario","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",122,1156,"colleganza settlement","","Romano","Mairano","Romano","Mairano","","Marano","","","","","","","Giovanni","Navigaioso","Iohannes","Navigaiosus","Navigroso","Navigroso","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",496,1208,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Pietro","Gradenigo","Petro","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",771,1244,"colleganza","","Martino","Miliano","Martinus","Milianus","Miani","Miani","","","","","","","Lazzaro","Mercadante","Lacaro","Marcadante","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",475,1205,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Orseola","Mocenigo","Ursiula","Mucinigo","Mocenigo","Mocenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",839,1257,"colleganza","","Floriano","Trevisan","Florianus","Tervisano","Trevisan","Trevisan","","","","","","","Lazzaro","Mercadante","Lacaro","Marcadante","","","","","","","",""
"Sebellico (1973)",362,1323,"colleganza","","Tommaso","Tron","Thomas","Truno","Tron","Tron","","","","","","","wife of tractor","Tron","wife of tractor","Truno","Tron","Tron","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",673,1234,"colleganza","","Giovanni","Acotanto","Iohannes","Acotanto","Acotanto","Acotanto","","","","","","","Maria","Giusto","Maria","Iusto","Zusto","Zusto","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",644,1228,"colleganza","","Marco","Pizolo","Marcus","Picolo","","","","","","","","","Bartolomeo","Barozzi","Bartholomeo","Baroci","Barozzi","Barozzi","","","","","",""
"Tiepolo (1970)",417,1316,"colleganza","","Bonacorso","unknown","Bonacursus","unknown","","","","","","","","","Marco","de Stolla","Marco","de Stolla","","","","","","","",""
"Sebellico (1973)",46,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Tommasino","Giustinian","Thomasinus","Iustiniano","Giustinian","Giustinian","","","","","",""
"Sebellico (1973)",1012,1342,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Giovannino","Morosini","Iohannino","Mauroceno","Morosini","Morosini","","","","","",""
"Sebellico (1973)",493,1328,"colleganza","","Marino","Morosini","Marinus","Mauroceno","Morosini","Morosini","","","","","","","Cecilia","Giustinian","Cecilie","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",515,1209,"colleganza settlement","","Giovanni","Corner","Iohanni","Cornario","Corner","Corner","","","","","","","Silvestro","Tebaldo","Silvester","Tibaldus","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",761,1243,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Marco","Giustinian","Marco","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",680,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Marino","da Tumba","Marino","da Tumba","","","","","","","",""
"Sebellico (1973)",419,1325,"colleganza","","Zanino","Morosini","Çaninus","Moroceno","Morosini","Morosini","","","","","","","Pantaleone","Giustinian","Pantaleoni","Iustiniano","Giustinian","Giustinian","","","","","",""
"Sebellico (1973)",349,1323,"colleganza","","Giovanni","Morosini","Iohannes","Moroceno","Morosini","Morosini","","","","","","","Fiordaliso","Gradenigo","Flordelise","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",849,1260,"colleganza","","Angelo","Marangon","Angelus","Marangono","","","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",682,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Vito","Bono","Vito","Bono","Bon","Bon","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",619,1224,"colleganza","","Michele","Emo","Michael","Aimo","Emo","Emo","","","","","","","Giovanni","Badoer","Iohanne","Badovario","Badoer","Badoer","","","","","",""
"Tiepolo (1970)",327,1313,"colleganza","","Matteo","d'Ancontano","Matheus","d'Ancontano","","","","","","","","","Emia","Giustinian","Emia","Iustiniano","Giustinian","Giustinian","","","","","",""
"Sebellico (1973)",871,1333,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Marco","Giustinian","Marco","Iustinianno","Giustinian","Giustinian","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",94,1249,"colleganza","","Stefano","Venier","Stephano","Venero","Venier","Venier","","","","","","","Giovanni","Nicola","Iohanne","Nichole","Nicola","Nicola","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",506,1208,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Berta","Morosini","Berta","Mauroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",460,1200,"colleganza reference","","Zaccaria","Staniario","Cacharia","Staniario","Staniario","Staniario","","","","","","","Pietro","Istrigo","Petrus","Istrigo","Istrigo","Istrigo","","","","","",""
"Sebellico (1973)",439,1326,"colleganza","","Marino","Morosini","Marinus","Moroceno","Morosini","Morosini","","","","","","","Giacomo","Zordan","Iacobo","Çordano","Zordani","Zordani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",807,1251,"colleganza","","Felice","Venier","Felix","Venero","Venier","Venier","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Tiepolo (1970)",152,1312,"colleganza","","Giovanni","Biondo","Iohannes","Blondo","","","","","","","","","Corrado","Rozeri","Corado","Roçeri","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",613,1224,"colleganza","","Michele","Emo","Michael","Aimo","Emo","Emo","","","","","","","Giovanni","Badoer","Iohanne","Badovario","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",681,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Nicola","Aggadio","Nicolao","Aggadio","Agadi","Agadi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",815,1253,"colleganza","","Giovanni","Emo","Iohannes","Aymo","Emo","Emo","","","","","","","Marino","Badoer","Marino","Badovario","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",112,1154,"colleganza settlement","","Romano","Mairano","Romano","Mayrano","","Marano","","","","","","","Valperto","Gausoni da Torcello","Walpertus","Gausoni de Torcello","Gussoni","Gussoni","","","","","",""
"Sebellico (1973)",302,1323,"colleganza","","Nicola","Mozo","Nicolaus","Moço","","","","","","","","","Matteo","di Federico","Matheo","de Federico","","","","","","","",""
"Sebellico (1973)",252,1322,"colleganza","","Marziale","Banzon","Marcialis","Bançon","","","","","","","","","Giovannino","da Trau","Iohannino","de Trahu","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",829,1255,"colleganza","","Giovanni","Pagan","Iohannes","Pagan","","","Donato","Pagan","Donatus","Pagan","","","Redolica","Gradenigo","Rhedolica","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",687,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Giovanni","Senatore","Iohanne","Senatore","Senadori","Senadori","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",19,1089,"colleganza settlement","","Domenico","Mastroscoli","Dominici","Magister Scoli","","","","","","","","","Pietro","Storlato","Petri","Stoilati","Storladi","Storladi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",587,1220,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Tommaso","Gradonico","Thome","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",405,1191,"colleganza settlement","","Pietro","Tonisto","Petro","Tonisto","Tonisti","Tonisti","","","","","","","Marco","Giustiniani","Marcus","Iustinianus","Giustinian","Giustinian","","","","","",""
"Sebellico (1973)",102,1320,"colleganza","","Goffredo","Morosini","Çufredus","Moroceno","Morosini","Morosini","","","","","","","Beria","Contarini","Beria","Contarino","Contarini","Contarini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",489,1207,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Matteo","Marzolo","Matheo","Marcolo","","","","","","","",""
"Sebellico (1973)",982,1340,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Zanino","Morosino","Çanino","Mauroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",764,1243,"colleganza","","Viviano","Miliano","Wivianus","Milliano","Miani","Miani","","","","","","","Lazzaro","Mercadante","Lacaro","Marcadante","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",604,1223,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Guidota","Zorzi","Guidota","Georgio","Zorzi","Zorzi","","","","","",""
"Sebellico (1973)",56,1316,"colleganza","","Marinello","Badoer","Marinellus","Baduario","Badoer","Badoer","","","","","","","Sofia","Gisi","Sophia","Gixi","Ghisi","Ghisi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",806,1251,"colleganza","","Giacomo","Francesco","Iacobus","Franciscus","","","","","","","","","Giacomina","Zantani","Iacobina","Cantani","Zantani","Zantani","","","","","",""
"Sebellico (1973)",903,1333,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Nicola","da le Sevele","Nicolao","de la Sevele","Dalle Sevole","Dalle Sevole","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",191,1167,"colleganza","","Domenico","Giacobbe","Dominicus","Iacobe","","","","","","","","","Romano","Mairano","Romano","Mairano","","Marano","","","","","",""
"Tiepolo (1970)",339,1313,"colleganza","","Francesco","Viadro","Franciscus","Viatro","Viaro","Viaro","","","","","","","Marino","Soranzo","Marino","Superancio","Soranzo","Soranzo","","","","","",""
"Sebellico (1973)",330,1323,"colleganza","","Nicola","Miani","Nicolaus","Miani","Miani","Miani","","","","","","","Giovanni","Zeno","Iohanni","Geno","Zeno","Zeno","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",704,1234,"repeat","settlement for document 673","Giovanni","Acotanto","Iohannis","Acotanto","Acotanto","Acotanto","","","","","","","Maria","Giusto","Maria","Iusto","Zusto","Zusto","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",801,1250,"colleganza","","Antonio","Pigozo","Antonius","Pigoco","","","","","","","","","Marco","Spatario","Marco","Spatario","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",238,1165,"repeat","settlement following request in document 236","Angelo","Vitale","Angelo","Vitali","Vidal","Vidal","","","","","","","Leone","Copula","Leonem","Copula","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",772,1244,"repeat","copy of document 771","Martino","Miliano","Martinus","Milianus","Miani","Miani","","","","","","","Lazzaro","Mercadante","Lacaro","Marcadante","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",721,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Filippo","Donà","Filippo","Donato","Donato","Donato","","","","","",""
"Sebellico (1973)",50,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Giovanni","Soranzo","Iohanne","Superancio","Soranzo","Soranzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",560,1214,"colleganza settlement","","Tomasso","Bonifacio","Thomam","Facio","Faccio","Faccio","","","","","","","Blasio","Bredano","Blasius","Bredano","Bredani","Bredani","","","","","",""
"Sebellico (1973)",500,1328,"colleganza","","Marco","Soranzo","Marcus","Superancio","Soranzo","Soranzo","","","","","","","Paolo","Foscarini","Paulo","Fuscareno","Foscarini","Foscarini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",757,1244,"colleganza settlement","","Odorico","Bello","Oderico","Bello","Belli","Belli","","","","","","","Pietro","Dolfin","Petrus","Delfinus","Dolfin","Dolfin","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",843,1258,"colleganza","","Filippo","Venier","Phylippus","Venero","Venier","Venier","","","","","","","Lazzaro","Mercadante","Lacaro","Mardante","","","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",49,1198,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Giacomo","Arimundo","Iacobus","Arimundo","Arimondo","Arimondo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",820,1253,"colleganza","","Simone","di Burges","Symon","de Borge","","","","","","","","","Gabriele","Marignoni","Gabriele","Marigloni","Marioni","Marioni","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",64,1205,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Marco","Corner","Marcus","Cornario","Corner","Corner","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",523,1210,"repeat","copy of document 522","Giovanni","Corner","Iohannus","Cornarius","Corner","Corner","","","","","","","Leonardo","Bosio","Leonardo","Bosio","","Bosio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",741,1241,"colleganza","","Pietro","Batello","Petrus","Batello","","","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",718,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Giovanni","Albino","Iohanne","Albino","Albino","Albino","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",59,1130,"colleganza settlement","","Viviano","da Molin","Viviano","da Molino","Da Molin","Da Molin","","","","","","","Pietro","Adoaldo","Petrus","Adoaldus","Addoldo","Addoldo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",653,1231,"colleganza settlement","","Domenico","Orio","Dominicus","Aurio","Orio","Orio","","","","","","","Giovanni","Contarini","Iohannis","Contareno","Contarini","Contarini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",524,1209,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Matteo","Marzolo","Matheus","Marcolo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",601,1222,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Vivaldo","da Mantova","Vivaldo","da Mantua","","","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",83,1226,"colleganza","","Giacomo","Cupo","Iacobus","Cupo","Coppo","Coppo","","","","","","","Marco","Vallaresso","Marco","Vallaresso","Valaresso","Valaresso","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",753,1242,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Michele","da Canale","Michaele","da Canale","Canal","Canal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",785,1247,"colleganza","","Angelo","da Molin","Angelus","da Molino","Da Molin","Da Molin","","","","","","","Paolo","da Molin","Paulo","da Molino","Da Molin","Da Molin","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",100,1255,"colleganza","","Giovanni","Trevisan","Iohannes","Tervisanus","Trevisan","Trevisan","","","","","","","Pietro","Viadro","Petro","Viadro","Viaro","Viaro","","","","","",""
"Sebellico (1973)",273,1324,"colleganza","","Filippo","Zulian","Philippus","Çuliano","Zulian","Zulian","","","","","","","Agnese","da la Scala","Agneti","de la Scala","Dalla Scala","Dalla Scala","","","","","",""
"Sebellico (1973)",294,1323,"colleganza","","Gabriele","Barbarigo","Gabriel","Barbadico","Barbarigo","Barbarigo","","","","","","","Benedetto","da Molino","Benedicto","de Molino","Da Molin","Da Molin","","","","","",""
"Sebellico (1973)",352,1323,"colleganza","","Marco","Michiel","Marcus","Michael","Michiel","Michiel","","","","","","","Andrea","Michiel","Andree","Michaeli","Michiel","Michiel","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",47,1197,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Pietro","Zorzi","Petrus","Georgius","Zorzi","Zorzi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",562,1214,"colleganza settlement","","Tomasso","Fazio","Thomam","Facio","Faccio","Faccio","","","","","","","Giovanni","Bocasso","Iohannes","Bocassus","Boccazo","Boccazo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",512,1209,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Maria","Ziani","Maria","Ciani","Ziani","Ziani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",716,1239,"colleganza","","Domenico","Venier","Dominicus","Venero","Venier","Venier","","","","","","","Adamo","Balbo","Adamo","Balbo","Balbi","Balbi","","","","","",""
"Tiepolo (1970)",328,1313,"colleganza","","Antonio","Alberto","Antonius","Alberto","Alberto","Alberto","","","","","","","Andrea","Morono","Andrea","Morono","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",508,1208,"repeat","settlement for document 496","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Pietro","Gradenigo","Petrus","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",118,1155,"colleganza settlement","","Romano","Mairano","Romano","Mairano","","Marano","","","","","","","Pietro","Quirino di Domenico","Petrus","Quirinus filius Dominici Quirini","Querini","Querini","","","","","",""
"Sebellico (1973)",381,1324,"colleganza","","Belletto","Barbo","Beletus","Barbo","Barbo","Barbo","","","","","","","Domenico","Bollani","Dominico","Bolani","Bollani","Bollani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",497,1208,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Matteo","Marzolo","Matheo","Marcolo","","","","","","","",""
"Sebellico (1973)",347,1323,"colleganza","","Francesco","Morosini","Franciscus","Moroceno","Morosini","Morosini","","","","","","","Fiordaliso","Gradenigo","Flordelise","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Sebellico (1973)",111,1319,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Nicola","Caravello","Nicolao","Charavello","Caravello","Caravello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",18,1088,"colleganza settlement","","Domenico","Mastroscoli","Dominici","Magister Scoli","","","","","","","","","Pietro","Storlato","Petri","Stoilati","Storladi","Storladi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",522,1210,"colleganza","","Giovanni","Corner","Iohannus","Cornarius","Corner","Corner","","","","","","","Leonardo","Bosio","Leonardo","Bosio","","Bosio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",701,1235,"colleganza","","Angelo","de Albrigeto","Angelus","de Albrigeto","","","","","","","","","Gabriele","Marignoni","Gabriele","Marignuni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",526,1210,"colleganza settlement","","Zaccaria","Stagnario","Cacharie","Staniario","Staniario","Staniario","","","","","","","Pietro","Avenanzo","Petrus","Avenanco","","","","","","","",""
"Tiepolo (1970)",338,1313,"colleganza","","Pietro","Viadro","Petrus","Viatro","Viaro","Viaro","Francesco","Viadro","Franciscus","Viatro","Viaro","Viaro","Marco","Donato","Marco","Donato","Donato","Donato","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",709,1239,"colleganza","","Natale","Stagnario","Natalis","Staniario","Staniario","Staniario","","","","","","","Gabriele","Marignoni","Gabriele","Marigloni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",123,1156,"colleganza","","Pietro","Corner","Petrus","Cornarius","Corner","Corner","","","","","","","Stefano","Maciamano","Stephano","Maciamano","Mazaman","Mazaman","","","","","",""
"Sebellico (1973)",815,1331,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",410,1192,"colleganza settlement","","Giovanni","Mairano","Iohannes","Marano","","Marano","","","","","","","Pangrazio","Michiel","Panchracius","Michael","Michiel","Michiel","","","","","",""
"Sebellico (1973)",113,1319,"colleganza","","Biagio","Malipiero","Blaxius","Malipero","Malipiero","Malipiero","","","","","","","Nicola","Arimondo","Nicolao","Arimondo","Arimondo","Arimondo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",840,1257,"colleganza","","Floriano","Trevisan","Florianus","Tervisano","Trevisan","Trevisan","","","","","","","Lazzaro","Mercadante","Lacaro","Mercadante","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",745,1242,"colleganza","","Giovanni","Pergaminer","Iohannes","Pergaminer","","","","","","","","","Gabriele","Marignoni","Gabriele","Marigluni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",825,1254,"colleganza","","Marino","Businago","Marinus","Businago","Businago","Businago","","","","","","","Ambrogio","Roberto","Ambrosio","Ruberto","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",781,1246,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Giovanni","Giustinian","Iohanne","Iustiniano","Giustinian","Giustinian","","","","","",""
"Sebellico (1973)",110,1319,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroçeno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",13,1073,"colleganza","","Giovanni","Lissado da Luprio","Iohannes","Lissado de Luprio","","","","","","","","","Sevasto","Orefice","Sevasto","Aurifice","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",665,1231,"repeat","settlement for document 656","Tommaso","Falier","Thome","Faletro","Falier","Falier","","","","","","","Andrea","Tomato","Andreas","Tomatho","","","","","","","",""
"Tiepolo (1970)",77,1311,"colleganza","","Tommaso","Zopolo","Thomas","Çopolo","","Zopolo","","","","","","","Nicolò","Morosini","Nicolao","Mauroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",185,1167,"colleganza settlement","","Pietro","Falier","Petrus","Faletro","Falier","Falier","","","","","","","Giacomo","Contarini","Iacobo","Contareno","Contarini","Contarini","","","","","",""
"Sebellico (1973)",212,1322,"colleganza","","Giacomello","Tiepolo","Iacobellus","Teupulo","Tiepolo","Tiepolo","","","","","","","Michele","Contarini","Michaele","Contareno","Contarini","Contarini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",413,1188,"colleganza settlement","","Marco","Signolo","Marco","Signolo","Signolo","Signolo","Pietro, & Simeone","Signolo","Petro & Simeone","Signolo","Signolo","Signolo","Domenico","Cupo","Dominicus","Cupo","Coppo","Coppo","","","","","",""
"Tiepolo (1970)",26,1310,"colleganza","","Michele","Contarini","Michael","Contareno","Contarini","Contarini","","","","","","","Bellino","Lando","Belino","Lando","Lando","Lando","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",690,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Angelo","Contarini","Angelo","Contareno","Contarini","Contarini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",841,1257,"colleganza","","Giovanni","Soranzo","Iohannes","Superancio","Soranzo","Soranzo","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",794,1248,"colleganza","","Giacomo","Barasiro","Iacobus","Barastro","Barastro","Barastro","","","","","","","Nicola","di donna Maria","Nicolao","de Domina Maria","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",618,1224,"colleganza","","Matteo","Simitecolo","Matheus","Simiteculo","","","","","","","","","Pietro","Darpino","Petro","Darpino","Darpin","Darpin","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",96,1253,"colleganza","","Marino","Gisi","Marino","Gisi","Ghisi","Ghisi","","","","","","","Marino","Busenago","Marino","Busenago","Businago","Businago","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",58,1202,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Marco","Corner","Marcus","Cornario","Corner","Corner","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",751,1242,"colleganza","","Pietro","Foscolo","Petrus","Fusculo","Foscolo","Foscolo","","","","","","","Omobono","Barastro","Homobono","Barastro","Barastro","Barastro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",726,1239,"colleganza","","Giacomo","Bembo","Iacobus","Benbo","Bembo","Bembo","","","","","","","Pietro","Permarino","Petro","Permarino","Premarin","Premarin","","","","","",""
"Tiepolo (1970)",177,1312,"colleganza","","Giovanni","Sceda","Iohannes","Sceda","","","","","","","","","Imperatrice","Michiel","Imperarise","Michaele","Michiel","Michiel","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",564,1212,"colleganza settlement","","Giovanni","Longo","Iohanne","Longo","Longo","Longo","","","","","","","Bartolomeo","da Canale","Bartholomeus","da Canale","Canal","Canal","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",62,1205,"colleganza","","Antolino","Curtulo da Torcello","Antolinus","Curtulo de Torcello","","Curtolo","","","","","","","Agnese","Venier","Agnete","Venerii","Venier","Venier","","","","","",""
