Family;Start;End
 DI LORZO; ?;1316
 SCLAVO; ?; nel '300
 NAVIGROSO 14; 1297;1342
 VERI; 1297;1303
 SCROFFA; 1698;1797
 GRISONI; 1297; bandita prima del 1378
 ZAGURI; 1646;1797
 FACCIO; ?;1308
 BONFADINI; 1648;1797
 BARBETTA; ?;1373
 SALLONESI; ?;1305
 GEZO prima del; 1379;1478
 GAMBARA; 1653;1797
 AMBOISE; ; 1501
 DRUSCO; ?;1365
 MALATESTA; 1480,1503; tra 1709 e 1734
 GABRIEL (CABRIEL); 1297;1797
 STATIO; 1653; tra 1709 e 1712
 METTADORI; ?;1344
 BATTAGIA; 1439;1797
 LINI; 1685;1797
 BERNARDO; 1297;1797
 GARZONI; 1381;1797
 BELL’OSELLO; ?;1374
 RAGUSIO; ?;1352
 LISIADO; ?;1348
 CAPELLO; 1297;1797
 LAMBERTINI; ?;1797
 PIANEGA; 1297; nel '300
 ZANCARUOL; 1297;1766
 BASADONNA; 1297;1797
 FOSCARI; 1297;1797
 POLO; 1663;1797
 BURICALDO; 1297;1321
 SISOLLA; ?;1387
 GUORO; 1381; tra 1698 e 1709 11
 ABICONOLO; ?;1365
 MARTINENGO 1689,; 1779;1797
 CARAZACANEVO; 1297; prima del '300
 RAMPANI; ?;1314
 DALLA SCALA; 1297; nel '300
 LANZUOLI; 1297;1432
 GUERRA; 1689;1797
 VERONESE; 1704;1797
 MASTALIZI; ?;1324
 BONINSEGNA; 1310;1321 6
 MOCENIGO; 1297;1797
 SANDI; 1685;1797
 AVOGADRO; 1438;1797
 VALARESSO; 1297;1797
 BONALDI; ?;1344
 CONTI; 1667;1763
 MARIN; 1297;1797
 VEGLIA; 1297; dopo 1379
 ZAMBELLI (S. Stin); 1685;1733
 MORO 1297,; 1313;1797
 STORNELLO; 1311;1321
 CICOGNA; 1381;1797
 PELIZZIOLI; 1699;1768
 FRANZAPANI; ?;1347
 GRIEGO (GREGO) 1493 –; 1701;09
 ENEGRO; ?;1380
 FOSCARINI; 1297;1797
 CAOTORTA 1297, 1310,; 1402;1789
 BORDOLO; ?;1376
 BRISI (BRIZI); 1303–1366;
 TIEPOLO; 1297;1797
 MAZAMAN; 1297;1412
 SANTASOFFIA; 1649;1775
 LION; 1303;1761
 PONTE (DA) 1493; ;1797
 GALARESI; ?;1341
 REDETTI; 1698;1797
 BETANI; 1297; prima del '300
 BENZON (S. Vidal); 1685;1775
 CARMINATI; 1687;1797
 BEMBO; 1297;1797
 ZORBANI; ?;1381
 MEDICI; 1652;1701
 TODERINI; 1694;1797
 ALBERTO; 1297;1625
 DI ROSSI 1423,; 1482;?
 TREVISAN; 1689;1797
 PIZZAMANO 1297,; 1381;1797
 ANSELMI; 1412;1519 4
 SAGREDO; 1297;1797
 BRISTOLANI ?; ;1362
 BOLPE; 1297–1386;
 RAVAGNIN; 1657;1797
 DOLFIN; 1297;1797
 ARDIZON; 1297; prima del '300
 MINIO; 1297;1797
 MUSSOLINO; 1297; nel '300
 FRADELLO; 1297;1366 10
 MANIN; 1651;1797
 ZANE; 1297;1797
 DOLCE; 1658;1797
 GRASONI; 1297;1303
 MARCIPAGNI; ?;1321
 PANCIERA; 1777;1797
 MICHIEL; 1297;1797
 ROVINI; 1788;prima del 1792
 LOMBRESCHI; ?;1376
 MORA (S. Marcuola) 1653,; 1665;1797
 VANAXEL; 1665;1797
 BOSEBO; ?;1311
 RIZZI; 1687;1797
 BRESSA; 1652;1797
 DONO; 1297; prima del 1493
 BRAZOLAN; 1297; nel '300
 DE MALIS nel '300; ; nel '300
 SELVO 1297; ;1311
 BUSINAGO; 1297;1471
 ZIANI; ?;1350'
 MARMORA; 1303;1426
 FONTE; 1646;1770
 BAROZZI; 1297;1797
 GRASSI; 1718;1797
 CONTENTI; 1686;1797
 ROMANI; 1297;1411
 MARCONI; ?; nel '300
 ARNALDI; 1685;1797
 BARBARO; 1297;1797
 GHEDINI; 1667;1713
 OTTOLIN; 1780;1797
 PINDEMONTE; 1782;1797
 CORREGGIO; 1646; tra 1717 e 1719
 BARBARAN; 1665;1797
 CELINI; 1685; tra 1750 e 1758
 BOLLANI; 1297;1797
 DELLA FRASCADA; 1297;1322
 HAOLDO; ?;1432
 GIOVANELLI; 1668;1797
 POLO 1297,; 1381;1797
 ZOLIO; 1656;1797
 DA PORTO; 1381;1429
 FALIER; 1297;1797
 TONISTI; ?;1316
 VARDA DA DIO; ?;1328
 MINOTTO; 1297;1797
 DARMER (ARMERI); 1297;1553
 FRANCESCHI; 1716;1788
 CURTI; 1688;1797
 SPAZACANAL; ?;1312
 SEMITECOLO; 1297;1797
 PERSICO; 1685;1797
 CALERGI 1381,; 1407;1668
 DONDIOROLOGIO; 1653;1797
 BORDINIGO; ?–1342;
 REBOLIN ?; ;1339
 TAGLIAPIETRA; 1381; tra 1640 e 1655
 DONÀ; 1297;1797
 FIOLLO; ?;1337
 ALBIZZO; 1297;1350'
 FERRO; 1659;1797
 GIUPPONI; 1660; tra 1666 e 1683
 PECIN (PENCIN); 1381;1402
 GALLINA; ?;1375
 PASQUALIGO 1297,; 1381;1797
 BENADO; ?;1373
 BUORA; 1297–1311;
 DA MAR; 1309;1323
 NAVAGER; 1297; tra 1734 e 1759
 SALAMON; 1297;1788
 CASTEROTI; 1416;?
 GUSSONI 1297,; 1310;1733
 AMIZZO; 1297;1350'
 PREMARIN; 1297; tra 1734 e 1759
 PASTA; 1669;1797
 LONGO 1297,; 1381;1797
 CANCANICO; ?;1303
 MARANZIN; 1297;1386
 ORIO; 1297;1797
 ZANASI; ?;1375
 ZEN; 1297;1797
 AVANZAGO (D'); 1297; tra 1640 e 1655
 DORO; 1297;1311
 COMINO; 1464;?
 MANZONI; 1687;1797
 MELLI; 1550;1797
 DOLFINIGO; ?;1321
 SIGNOLO; 1297; tra 1493 e 1527
 ALBIRINGO; ?;1301
 NADAL; 1297;1797
 COCODRIZI; ?;1372
