Name,Year,Type
"Domenico Morosini",1083,tractor
"Domenico Orio",1231,tractor
"Domenico Venier",1239,tractor
"Domenico Venier",1239,tractor
"Domenico Villari",1208,stans
"Domenico di Albiola",1200,tractor
"Domenzi Lion",1313,stans
"Dominico de Iema",1312,tractor
"Donato Civran",1234,stans
"Donato Fradello",1234,stans
"Donato Grioni",1325,tractor
"Donato Pagan",1255,tractor
"Emia Giustinian",1313,stans
"Emia Giustinian",1313,stans
"Enrico Contarini",1138,tractor
"Enrico Morosini",1130,stans
"Enrico Straccivendolo",1326,tractor
"Fantino Da Molin",1154,tractor
"Felice Venier",1251,tractor
"Feloto Centosoldi",1183,stans
"Filippa Querini",1231,stans
"Filippo Barbarigo",1319,tractor
"Filippo Barbarigo",1319,tractor
"Filippo Barbarigo",1319,tractor
"Filippo Barbarigo",1321,tractor
"Filippo Barbarigo",1321,tractor
"Filippo Barbarigo",1321,tractor
"Filippo Barbarigo",1323,tractor
"Filippo Barbarigo",1323,tractor
"Filippo Barbarigo",1325,tractor
"Filippo Barbarigo",1327,tractor
"Filippo Barbarigo",1329,tractor
"Filippo Barbarigo",1331,tractor
"Filippo Barbarigo",1340,tractor
"Filippo Barbarigo",1342,tractor
"Filippo Belegno",1232,stans
"Filippo Boccazo",1202,stans
"Filippo Corner",1207,stans
"Filippo Corner",1320,stans
"Filippo Donato",1239,stans
"Filippo Donato",1239,stans
"Filippo Grimani",1232,stans
"Filippo Guido",1222,stans
"Filippo Iantani",1235,stans
"Filippo Marcello",1189,stans
"Filippo Marcello",1191,stans
"Filippo Orio",1323,tractor
"Filippo Orio",1323,tractor
"Filippo Sanudo",1316,stans
"Filippo Venier",1258,tractor
"Filippo Viaro",1207,stans
"Filippo Zantani",1220,tractor
"Filippo Zulian",1324,tractor
"Filippo d'Albiola",1189,tractor
"Filocardina Gramentuni",1220,stans
"Filocaro Calbo",1153,tractor
"Fiordaliso Gradenigo",1323,stans
"Fiordaliso Gradenigo",1323,stans
"Fiorentino Mosto",1247,stans
"Floriano Trevisan",1257,tractor
"Floriano Trevisan",1257,tractor
"Foscari Malaza",1161,stans
"Francesca Morosini",1320,stans
"Francesco Foscolo",1323,stans
"Francesco Morosini",1323,tractor
"Francesco Morosini",1323,tractor
"Francesco Viaro",1313,tractor
"Francesco Viaro",1313,tractor
"Francesco Viaro",1313,tractor
"Francesco Viaro",1313,tractor
"Frusina Pentulo",1252,stans
"Gabriele Barbarigo",1323,tractor
"Gabriele Marioni",1235,stans
"Gabriele Marioni",1235,stans
"Gabriele Marioni",1236,stans
"Gabriele Marioni",1238,stans
"Gabriele Marioni",1239,stans
"Gabriele Marioni",1239,stans
"Gabriele Marioni",1242,stans
"Gabriele Marioni",1252,stans
"Gabriele Marioni",1253,stans
"Gabriele Trevisan",1327,tractor
"Gabriele Trevisan",1327,tractor
"Gabriele Trevisan",1329,tractor
"Gabriele Trevisan",1329,tractor
"Gabriele Trevisan",1331,tractor
"Gabriele Trevisan",1331,tractor
"Gabriele Trevisan",1333,tractor
"Gabriele Trevisan",1333,tractor
"Gerardo Miani",1242,tractor
"Gerardo Trevisan",1255,tractor
"Gerardo Vitturi",1240,tractor
"Geremia Bonoto",1312,tractor
"Gervasio Grego",1153,stans
"Giacomello Tiepolo",1321,tractor
"Giacomello Tiepolo",1321,tractor
"Giacomello Tiepolo",1322,tractor
"Giacomello Tiepolo",1322,tractor
"Giacomello Tiepolo",1323,tractor
"Giacomina Iantani",1228,stans
"Giacomina Zantani",1251,stans
"Giacomo Albizzo",1236,stans
"Giacomo Arimondo",1198,stans
"Giacomo Barastro",1248,tractor
"Giacomo Baseggio",1217,stans
"Giacomo Bembo",1239,tractor
"Giacomo Boninsegna",1326,stans
"Giacomo Bredani",1228,stans
"Giacomo Contarini",1167,stans
"Giacomo Coppo",1226,tractor
"Giacomo Falier",1235,tractor
"Giacomo Fel",1233,tractor
"Giacomo Francesco",1251,tractor
"Giacomo Guido",1159,tractor
"Giacomo Mocenigo",1207,stans
"Giacomo Seio",1239,stans
"Giacomo Tiepolo",1190,tractor
"Giacomo Tiepolo",1190,tractor
"Giacomo Tiepolo",1190,tractor
"Giacomo Venier",1161,tractor
"Giacomo Zordani",1326,stans
"Giacomo Zordani",1328,stans
"Giacomo Zordani",1329,stans
"Giamoco Muazzo",1221,stans
"Giocomo Muazzo",1221,stans
"Giovani Badoer",1202,stans
"Giovanni Acotanto",1234,tractor
"Giovanni Acotanto",1234,tractor
"Giovanni Agadi",1199,stans
"Giovanni Albino",1239,stans
"Giovanni Albino",1239,stans
"Giovanni Anastasio",1198,tractor
"Giovanni Badoer",1224,stans
"Giovanni Badoer",1224,stans
"Giovanni Badoer",1225,stans
"Giovanni Baro",1105,tractor
"Giovanni Bianco",1212,tractor
"Giovanni Biondo",1312,tractor
"Giovanni Biondo",1312,tractor
"Giovanni Boccazo",1214,stans
"Giovanni Boccazo",1234,stans
"Giovanni Bonaldi",1153,tractor
"Giovanni Canal",1260,stans
"Giovanni Contarini",1231,stans
"Giovanni Corner",1205,tractor
"Giovanni Corner",1206,tractor
"Giovanni Corner",1207,tractor
"Giovanni Corner",1207,tractor
"Giovanni Corner",1209,tractor
"Giovanni Corner",1210,tractor
"Giovanni Corner",1210,tractor
"Giovanni Corner",1217,tractor
"Giovanni Dalla Fontana",1239,stans
"Giovanni Dalla Fontana",1243,stans
"Giovanni Dandolo",1161,stans
"Giovanni Emo",1253,tractor
"Giovanni Emo",1253,tractor
"Giovanni Emo",1253,tractor
"Giovanni Emo",1253,tractor
"Giovanni Fradello",1222,tractor
"Giovanni Giustinian",1244,stans
"Giovanni Giustinian",1246,stans
"Giovanni Grasso",1226,stans
"Giovanni Lissado da Luprio",1073,tractor
"Giovanni Longo",1212,tractor
"Giovanni Marano",1192,tractor
"Giovanni Michiel",1224,tractor
"Giovanni Michiel",1234,tractor
"Giovanni Moro",1121,tractor
"Giovanni Morosini",1323,tractor
"Giovanni Morosini",1323,tractor
"Giovanni Nadal",1192,stans
"Giovanni Nadal",1205,stans
"Giovanni Navigroso",1156,stans
"Giovanni Nicola",1249,stans
"Giovanni Pagan",1255,tractor
"Giovanni Pergaminer",1242,tractor
"Giovanni Querini",1326,tractor
"Giovanni Russo",1159,tractor
"Giovanni Russo",1226,tractor
"Giovanni Rustico",1159,stans
"Giovanni Savoner",1243,stans
"Giovanni Sceda",1312,tractor
"Giovanni Senadori",1234,stans
"Giovanni Soranzo",1257,tractor
"Giovanni Soranzo",1316,stans
"Giovanni Soranzo",1316,stans
"Giovanni Tiepolo",1182,tractor
"Giovanni Tiepolo",1252,tractor
